Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
3841,hrt002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""assembly"", ""delivery"", ""excavator"", ""delivery""]","[""utilities"", ""utilities"", ""delivery"", ""item elevation"", ""utilities""]"
3842,hrt002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""assembly"", ""bricklayer"", ""excavator"", ""delivery""]","[""scaffold"", ""assembly"", ""assembly"", ""lay bricks"", ""item elevation""]"
3843,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""excavator"", ""delivery"", ""crane"", ""excavator""]","[""scaffold"", ""excavate"", ""assembly"", ""item elevation"", ""excavate""]"
3844,hrt002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""assembly"", ""crane"", ""scaffolding""]","[""scaffold"", ""scaffold"", ""debris"", ""item elevation"", ""assembly""]"
3845,hrt002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""crane"", ""crane""]","[""excavate"", ""lay bricks"", ""excavate"", ""item elevation"", ""assembly""]"
3846,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""delivery"", ""bricklayer"", ""bricklayer"", ""scaffolding""]","[""item elevation"", ""utilities"", ""assembly"", ""excavate"", ""assembly""]"
3847,hrt002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""crane"", ""excavator"", ""crane"", ""delivery""]","[""delivery"", ""item elevation"", ""delivery"", ""assembly"", ""delivery""]"
3848,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""scaffolding"", ""crane"", ""excavator"", ""delivery""]","[""item elevation"", ""excavate"", ""utilities"", ""utilities"", ""item elevation""]"
3849,hrt002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""bricklayer"", ""scaffolding"", ""assembly"", ""crane""]","[""delivery"", ""debris"", ""debris"", ""assembly"", ""excavate""]"
3850,hrt002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""scaffolding"", ""assembly""]","[""debris"", ""delivery"", ""excavate"", ""excavate"", ""debris""]"
3851,hrt002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""bricklayer"", ""scaffolding"", ""excavator"", ""excavator""]","[""debris"", ""assembly"", ""excavate"", ""item elevation"", ""utilities""]"
3852,hrt002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""scaffolding"", ""delivery"", ""crane"", ""bricklayer""]","[""excavate"", ""item elevation"", ""item elevation"", ""excavate"", ""item elevation""]"
3853,hrt002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""excavator"", ""bricklayer"", ""delivery"", ""delivery""]","[""assembly"", ""scaffold"", ""utilities"", ""assembly"", ""scaffold""]"
3854,hrt002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""delivery"", ""delivery"", ""delivery"", ""delivery""]","[""assembly"", ""scaffold"", ""debris"", ""debris"", ""excavate""]"
3855,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""assembly"", ""assembly"", ""delivery"", ""excavator""]","[""delivery"", ""debris"", ""utilities"", ""utilities"", ""assembly""]"
3856,hrt002d.map,5,5,evaluate_suitability_new,"[""crane"", ""delivery"", ""scaffolding"", ""delivery"", ""crane""]","[""delivery"", ""delivery"", ""scaffold"", ""item elevation"", ""lay bricks""]"
3857,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""assembly"", ""excavator"", ""crane"", ""assembly""]","[""assembly"", ""item elevation"", ""scaffold"", ""lay bricks"", ""delivery""]"
3858,hrt002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""excavator"", ""scaffolding"", ""bricklayer"", ""crane""]","[""excavate"", ""item elevation"", ""utilities"", ""utilities"", ""utilities""]"
3859,hrt002d.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""crane"", ""crane"", ""delivery""]","[""delivery"", ""lay bricks"", ""assembly"", ""utilities"", ""debris""]"
3860,hrt002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""assembly"", ""crane"", ""crane"", ""scaffolding""]","[""lay bricks"", ""delivery"", ""lay bricks"", ""delivery"", ""scaffold""]"
3861,hrt002d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""scaffolding"", ""scaffolding"", ""delivery"", ""excavator""]","[""assembly"", ""item elevation"", ""item elevation"", ""assembly"", ""excavate""]"
3862,hrt002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""bricklayer"", ""bricklayer"", ""delivery"", ""delivery""]","[""lay bricks"", ""scaffold"", ""debris"", ""scaffold"", ""assembly""]"
